What is the cancellation policy for bookings?,Cancellation policies vary by listing. Always read the specific cancellation terms outlined in the listing.
How do I verify my profile as a landlord?,"Follow the verification process outlined in your landlord dashboard, which may include providing identification or property documentation."
Can I upload photos to my listing?,"Yes, you can typically upload photos while creating or editing your listing."
What information should I include in my listing?,"Include details like the type of accommodation, amenities, rental price, location, and clear photos."
Are there rules about pets or smoking?,Most listings specify rules about pets or smoking in their descriptions. Always check before inquiring.
Can I search for rooms with specific amenities?,"Yes, use the amenities filter to select rooms with features like air conditioning, laundry, or parking."
How do I change my password?,"Go to ""Account Settings,"" select ""Security,"" and follow the prompts to change your password."
Can I delete my account?,"Yes, you can delete your account through the account settings; be aware this is often permanent."
How do I edit my personal information?,"Log in to your account, go to ""Account Settings,"" and update your personal information as needed."
Is the platform available internationally?,Check the platform’s availability on their website; many operate.
Do you share my personal information?,"No, we do not share your personal information. It is all stored in our own secure, encrypted database. Our policy is to keep personal information as safe and secure as possible. We believe in the privacy of personal information."
How many listings or profiles can I create?,"When it comes to our guest profile, it is one per guest. However, if you are posting a listing you can create multiple profiles."
How convenient is it to book a video tour?,"As simple as drinking a glass of water! Simply pick the date, time, and place, and send an invitation."
Does room finder accept paying rent online?,Absolutely! Our partnership with Stripe.
Are profiles free to make?,"Yes, making a profile is free! However, we recommend you get verified."
How convenient is it to book a video tour?,"As simple as drinking a glass of water! Simply pick the date, time, and place, and send an invitation."
How can I find a roommate or a room near me?,"Check out these quick links to find a roommate or a room near you:Rooms & Roommates Near Me, Rooms Near Me, Roommates Near Me, Roommate Finder Near Me."
 Why does the website list different prices for each category?,"The amount of rent payable depends on the category of the apartment, the floor on which it is located and the direction in which it faces."
When can I visit to view the rooms?,During opening hours in agreement with the concierge.
Do I need an insurance?,The tenant is responsible for taking out household insurance cover.
Can I receive visitors?,Of course you can receive visitors; they do not have to sign in.
Can I bring my own furniture?,You are welcome to bring personal items of furniture if there is enough space and provided they are removed when you move out.
 Do I have to terminate the agreement once my reservation expires?,"As the agreement is temporary, it expires automatically with no need to give notice."
Can I move out before the agreement expires?,You can move out at any time but must pay for the entire reservation.
Do you offer moving services?,Some platforms may partner with moving companies or provide assistance; check the services section for more information.
Is there a mobile app for Room Finder?,"No, only websites available."
Is there a fee associated with making a booking?,Always check the terms during the booking process.
How can I report issues with a landlord or tenant?,Use the reporting tool found in your account or on the listing to submit details regarding the issue.
Can I find short-term rental options on the platform?,"Yes, the platform features various listings, including those for short-term rentals."
Can I leave feedback for a landlord?,"Yes, after your stay, you can usually submit a review for the landlord based on your experience."
Are landlords able to rate tenants?,"Yes, landlords can provide feedback on tenants based on their rental experience."
Can I negotiate the rent with the landlord?,"Yes, many landlords are open to discussions about rental terms, including price negotiations."
Is there a minimum duration for stay?,Minimum stay requirements can vary. Please check each listing for specific conditions
Are there any additional costs I should be aware of?,Be sure to review the listing details carefully; some may include extra charges like cleaning or service fees.
How do I find listings that allow pets?,"Apply the ""Pet-Friendly"" filter in your search options to locate accommodations that accept pets."
How can I adjust my search to fit my budget?,Utilize the price filter on the search results page to set your desired minimum and maximum price range.
What happens if a landlord cancels my booking?,"In the event of a cancellation, you will be notified, and we will assist you in finding alternative accommodations if needed."
Are there any community guidelines for users?,"Yes, we have established community guidelines to ensure respectful interactions between landlords and tenants, which all users must follow."
Do you provide any resources for first-time renters?,"Yes, we offer guides and tips for first-time renters on our blog, covering topics like lease agreements, deposits, and what to expect."
Can I find user reviews for properties?,"Yes, many listings have user reviews where past tenants share their experiences, helping you make informed decisions."
What should I do if I encounter issues during my stay?,"If you experience any problems, contact the landlord directly through our messaging system for immediate assistance."
Are there options for students?,"Yes, many listings cater specifically to students, including shared apartments near universities and student-friendly neighborhoods."
Hi,Hello! How can I assist you today?
Hello,Hi there! How may I help you?
How are you?,"I am just a chatbot, but I'm here to help you!"
What is your name?,I am your friendly room finder assistant.
Good morning,Good morning! What can I do for you today?
Good evening,Good evening! How can I assist you?
Can you help me?,Of course! What do you need assistance with?
Thank you,You're welcome! Let me know if there's anything else.
Bye,Goodbye! Have a great day!
